(4c5b,6f01) 1 2da261c6aeea905effc153f5d6be1fd09eb7a71d9dcc8c34cbc4b9781e7acc08 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(4511,c127) (39f,1f57) #1e25#28b0#3fdd#a423#a8aa#3ff7#a423#6e51#592d#270a#
(2bd,288b) (25eb,40fd) #1db#1fa2#1ef9#1020#7f6#1d46#aea#d46#250d#24f2#b0e#
(1607,5c9f) (25eb,40fd) #1915#2b89#700#2264#3342#f91#3297#df3#343e#1b85#5bf4#
(2513,2a47) (25eb,40fd) #11ca#1d2e#1393#1474#188b#6fc#244f#2419#d7c#28d1#2580#
(38f,29e1) (5d4f,626f) #1304#9ea#12f9#1548#1ea1#dc3#26c3#1928#26c3#1ea1#266f#
(21d,1c0d) (5d4f,626f) #88c#c05#1bc8#19f7#a99#765#1137#bc9#1137#a99#dab#
(b89,ddf) (5d4f,626f) #942#48e#21c#91b#dd8#784#1a9#a68#1a9#dd8#2a9#
(25eb,40fd) (39f,1f57) #249d#2839#40d4#3dd4#3b7#29a#3dd4#4d8#1e36#739#
(19f1,2645) (1ab1,1f15) #bb0#1272#23ff#c3#1272#1ef2#1272#1b3a#1272#266#2475#
(3c4f,8549) (5d4f,626f) #7e62#fda#3443#23b3#17c7#e61#66f5#2424#66f5#17c7#2b59#
(1805,26d7) (25eb,40fd) #1b4a#218e#2543#12f3#204#163b#465#2221#6ec#20c#ffa#
(4fd,4921) (39f,1f57) #2456#47dc#3516#484a#c39#3201#484a#213f#3d1d#43e4#
(1403,65d5) (39f,1f57) #6463#616d#571d#3f14#259b#5b71#3f14#2283#5314#133c#
(533,12ef) (463,4fe5) #4b9#12aa#933#742#b56#12aa#11f0#e35#1012#18e#
(17b,168b) (463,4fe5) #718#eb4#a11#e22#10d2#eb4#60f#8e5#12ac#1319#
(179,292d) (463,4fe5) #1cfc#95#147f#84#1f5b#95#2773#248a#385#417#
(f8b,2d35) (1ab1,1f15) #129f#b6b#1149#89d#b6b#1673#b6b#2bc#b6b#1a50#2784#
(6a1,10d9) (39f,1f57) #77b#75b#1067#93f#ec3#7#93f#36d#dac#918#
(1cd3,3e8d) (25eb,40fd) #1690#2ee0#22c0#1e45#3c22#2a2f#3f0#1d21#31e1#2111#21c5#
(1535,1907) (39f,1f57) #ffe#f34#374#a3d#2c#1a7#a3d#497#6a9#175d#
(1999,3389) (463,4fe5) #2ce7#1bfa#31e5#1c97#658#1bfa#2e12#1828#1580#1cdc#
(63cb,6959) (5d4f,626f) #3b6a#4c0e#3775#3133#3cf0#1970#4f98#5f8b#4f98#3cf0#4c96#
(33d,77f) (25eb,40fd) #70f#564#6e3#65#736#1bb#754#101#66#64#477#
(327,ac9) (463,4fe5) #5a3#7cd#390#6ab#630#7cd#3d8#4ee#aa0#683#
(c2f,11e1) (463,4fe5) #d3f#a90#bee#19c#a51#a90#670#b75#716#1fc#
(32b9,33e9) (1ab1,1f15) #141c#b2d#2b93#294e#b2d#1f47#b2d#9cd#b2d#242b#2628#
(391,1447) (39f,1f57) #b62#852#12ea#98e#c9d#5fc#98e#2a2#718#11d5#
(7f,263) (39f,1f57) #5c#12a#e5#9e#140#c0#9e#16d#189#b#
(1925,1b9b) (463,4fe5) #240#19f7#82#654#3f0#19f7#de3#c2f#1869#14c4#
(1549,404b) (463,4fe5) #e47#1cdc#15ce#1e45#34fe#1cdc#32c7#2c40#3b35#2313#
(985,ed7) (1ab1,1f15) #bd3#e94#b7b#cbb#e94#62d#e94#6f8#e94#6e4#38f#
(7a5,245b) (463,4fe5) #1f3a#1dfa#40c#1fc#427#1dfa#e3c#157#1bc2#1b8c#
(2e03,36a3) (5d4f,626f) #1f66#3555#715#16fb#b97#2186#8b2#31f4#8b2#b97#1b1a#
(2b07,4085) (5d4f,626f) #2d70#1b85#3301#3633#bdb#9ca#1c02#405c#1c02#bdb#d96#
(2b,629) (25eb,40fd) #594#5b0#445#5bb#352#549#2d4#3b0#2a0#5d#45c#
(1367,1535) (25eb,40fd) #336#a0d#62#145e#1c2#be8#9c8#6ba#8c8#124d#dc9#
(a7f,1e43) (39f,1f57) #1bfe#aef#c3d#1714#f2#10db#1714#e71#6cf#15e3#
(3a67,5161) (1ab1,1f15) #43cf#1263#22e3#1225#1263#2990#1263#e20#1263#34cf#4ccf#
(2c9,12eb) (1ab1,1f15) #1e5#1fd#638#2cd#1fd#1ce#1fd#1119#1fd#1132#c2b#
(145,e9f) (463,4fe5) #43d#a98#af9#494#93a#a98#2c6#772#3fe#9a9#
(599,2105) (1ab1,1f15) #5ed#1409#1021#13a2#1409#6ce#1409#3eb#1409#1cb1#17bb#
(5efd,61bd) (463,4fe5) #4077#18e4#48a3#52f9#15bf#18e4#17ab#2c3d#3887#441c#
(1ab1,1f15) (25eb,40fd) #1776#11a8#1590#1dd#18b8#1301#1421#1e51#1b31#586#8e9#
(463,4fe5) (25eb,40fd) #412a#3505#3796#2979#19a9#3aa3#1c97#2220#18eb#38a4#2c76#
(cab,19b7) (1ab1,1f15) #69c#36d#1701#288#36d#6e1#36d#109f#36d#33c#1628#
(8a61,b039) (25eb,40fd) #afc9#a274#11d5#bc1#5264#4f92#5b1c#448#43ba#90e7#64a7#
(295,473) (5d4f,626f) #38f#141#3cb#34#66#45c#24e#32#24e#66#6c#
(6e9,1e83) (39f,1f57) #1329#90a#b43#f57#1e49#fac#f57#e1a#4f9#71f#
(39f,1f57) (1ab1,1f15) #5fe#1a07#985#f#1a07#1859#1a07#ecf#1a07#104d#1d41#
(3127,3587) (1ab1,1f15) #6ce#2946#2d9e#2612#2946#1855#2946#21f7#2946#1887#aa1#
(3541,3a19) (463,4fe5) #107c#37a3#2e5a#2025#379b#37a3#a4d#b87#1773#1803#
(1a3f,2117) (39f,1f57) #497#19ce#d98#5ae#c9a#1aae#5ae#1e9f#1d21#87b#
(845,e2d) (39f,1f57) #6c#a39#2ac#c9#d3b#a6b#c9#d12#8db#25c#
(45d,4df) (25eb,40fd) #246#28c#223#4c5#ea#159#211#232#54#36b#233#
(7c9,1c6f) (12ff,1f57) #7d4#150e#155f#c4e#c4e#c31#150e#c4e#aba#12e9#151e#
(9d7,1553) (12ff,1f57) #a5#9e7#13a3#f49#f49#a1a#9e7#f49#10fa#4f5#372#
