(7f5,8b3) 1 6becbf4d7d4ed90bf75250df24ff39359c836e6f1313d2932a083602646ca0e0 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(5ed,88d) (e2f,13a5) #63d#5b4#26f#635#3d3#3ed#f4#3#d4#539#
(4001,5531) (170b,a25f) #186f#53ee#2eb2#1d52#3325#c88#23a5#3c82#4a61#46ed#1984#
(2ba9,532d) (2ba9,532d) #17b4#1080#3b3c#4f1b#4670#2bcf#8de#284e#1080#1070#349b#
(2583,66d9) (e2f,13a5) #4e68#4450#5093#26af#35c8#4a46#456c#48dc#441a#635c#
(aa3,1097) (e2f,13a5) #4eb#b45#90a#168#1a4#a78#fbb#42e#4c5#df4#
(927,b17) (f73,14ef) #283#62d#7b0#770#1ae#976#177#dc#62d#914#
(86d,63e5) (e2f,13a5) #247f#3b77#6229#5cb5#6322#3ecb#498d#22f4#144d#3ab0#
(1e1,105d) (e2f,13a5) #80e#6bc#db#733#be1#a75#36b#5b3#fa4#b92#
(170b,a25f) (b41,e1b) #56ce#4665#8b2e#9004#7a05#6ff9#9004#4665#4ea9#
(279d,324d) (b41,e1b) #2ce7#906#2678#1a6c#aaa#115e#1a6c#906#31d8#
(1c7b,32e7) (170b,a25f) #14aa#a1#21ca#2d57#2fa0#f44#189a#37c#51f#265#14ad#
(1a65,4b67) (170b,a25f) #b22#3014#292b#6c#1baa#2279#350c#63f#a9e#481b#1779#
(4967,7055) (e2f,13a5) #6224#2f91#b6a#1048#3849#21ae#2192#5816#4b1e#2caf#
(b1,fd) (b41,e1b) #b2#62#6#1a#2c#ef#1a#62#f8#
(1d75,288b) (e2f,13a5) #534#14ac#2003#256c#1ace#2038#18bd#f89#9f3#23ac#
(691,cbf) (2ba9,532d) #c7f#80#3b#416#8f5#2f7#75e#178#80#f3#b96#
(19d9,42a7) (f73,14ef) #12d3#325b#3891#20c#2a8c#13d6#233a#3660#325b#28f4#
(1375,213b) (b41,e1b) #192#1808#1ef6#1b0f#1e2b#1186#1b0f#1808#1250#
(b93,8849) (2ba9,532d) #84fa#46a2#258a#141#78b6#355a#628b#738#46a2#6f9e#6008#
(10e7,245b) (2ba9,532d) #a16#287#14f7#d3e#ab7#461#610#7c0#287#8d9#19c9#
(5cf,7291) (170b,a25f) #2f07#2873#60da#661c#586d#658f#3335#629f#3b3b#4602#1cdb#
(b41,e1b) (f73,14ef) #6d0#dc6#714#9ab#dca#8d6#4c7#479#dc6#98f#
(431,57b) (e2f,13a5) #4e4#376#294#334#269#528#2de#19c#3f1#189#
(4801,4f9d) (f73,14ef) #93f#1031#313c#2064#1ccb#1c4d#3722#2f54#1031#1318#
(1cf3,286d) (e2f,13a5) #28#65#32#66#2c#31#33#61#35#29#
(8971,8b37) (2ba9,532d) #2791#5089#1420#31f5#6289#3f5b#7273#5387#5089#18bc#85d2#
(26f5,9d37) (e2f,13a5) #97aa#69d6#7d29#395c#13d#7c56#744c#6354#63b6#5217#
(7c9,f1d) (f73,14ef) #6ab#e61#930#47a#105#39d#34#204#e61#c67#
(232f,3fdf) (b41,e1b) #3b12#1c02#36ed#a18#1813#cec#a18#1c02#397a#
(e77,38ab) (b41,e1b) #d85#1fe7#34e4#efd#3529#177f#efd#1fe7#170d#
(1c79,20a5) (170b,a25f) #17b7#3d5#571#15bd#12b2#b82#142b#15a4#1de0#1ba7#1037#
(7c1,17bd) (e2f,13a5) #490#1009#efd#608#bb0#9c9#5d2#b9#146b#8b#
(6c1,1fc3) (f73,14ef) #fc2#e6b#fe3#94#1300#1d13#9d5#1aa7#e6b#214#
(e2f,13a5) (170b,a25f) #494#b0d#dae#900#127e#1203#bbb#1313#b64#79f#116f#
(1021,15eb) (f73,14ef) #33#587#394#28#2a0#a17#1408#10ba#587#13b0#
(13ff,2a79) (f73,14ef) #126e#5ad#1a26#1cc8#f0e#ace#27d8#192e#5ad#5fc#
(5e31,7433) (b41,e1b) #2b69#162e#d08#1e9d#3629#5661#1e9d#162e#3502#
(8e3,ba1) (2ba9,532d) #751#98e#604#a08#828#6bc#ab8#49e#98e#689#949#
(10fd,2119) (2ba9,532d) #f1d#1337#194d#9dc#8e3#1289#da#18d4#1337#c78#141#
(665b,73d3) (e2f,13a5) #2a22#381#62d0#4c70#2a51#50ec#737f#6593#219b#a7#
(2559,303d) (170b,a25f) #23f6#20c0#262b#891#d94#125c#24c9#1aca#4c3#1666#e4b#
(1841,6c0d) (170b,a25f) #38b#2a6#2bcb#3841#4165#47fb#5796#255e#5212#59a6#647#
(3371,5011) (f73,14ef) #44f8#fb0#3b20#22f#24d2#18e7#1b97#40c0#fb0#4199#
(4253,4a3f) (f73,14ef) #2bb2#2468#9b6#3146#26b4#4171#15ae#3c62#2468#4801#
(691,d33) (b41,e1b) #655#68f#c8e#7b3#61b#65#7b3#68f#29#
(14c3,56f5) (2ba9,532d) #19a#55bb#3c88#4f07#1ca9#1df2#54c2#1f89#55bb#4f7f#259#
(169,6bf) (2ba9,532d) #55b#32#272#219#16d#4c5#e5#22d#32#5ef#34c#
(cf7,6637) (b41,e1b) #1b7e#5bcf#32dc#c17#1b4d#1a52#c17#5bcf#5372#
(577,1321) (f73,14ef) #aa0#20a#a5c#38f#69b#126e#863#1196#20a#729#
