(81d,a1b) 1 0fae941b397e4bd4646fca6223ac0111879c45c34f86fb14b25719b37f8e6043 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(1df,353) (57c5,626f) #21b#b5#2d5#2dd#b5#9d#12#27#12#209#19#
(547,1015) (83b,b87) #af4#d31#cd6#1e5#8f3#1e5#d31#63b#705#
(1297,4ba7) (57c5,626f) #3589#40b8#394#46af#40b8#4242#3450#1f5b#3450#b2f#2f7b#
(371b,3c25) (1cbb,49a9) #73c#1ea9#33c8#fec#fec#1269#2fee#378#f13#378#1365#
(33f7,765d) (1cbb,49a9) #41aa#52bd#3380#686b#686b#37f9#10b4#1cf4#44fa#1cf4#50a6#
(6fb,2c95) (83b,b87) #1478#1cb9#132d#1064#14ad#1064#1cb9#2a35#21b0#
(1cbb,49a9) (3ad,12a1) #44bf#1378#103d#164#1336#3ba1#460d#103d#3ba1#11ea#
(11ff,2579) (3ad,12a1) #131d#bfd#251e#1b4d#433#1d82#1901#251e#1d82#5de#
(588d,5d23) (1cbb,49a9) #46ee#4150#5cea#8c5#8c5#109a#5ab0#3216#9f6#3216#40f0#
(112d,2825) (181b,1f57) #1c7#2293#eee#2293#16ca#2c#2293#21a8#bd#3fa#2298#
(23,3eb) (83b,b87) #3bd#36e#110#202#135#202#36e#3d6#140#
