(1aa7,2a7d) 3 10d43aae9949f12adc648e90e7acce6f4973c7c91e1b5eb797ac634d0ff9616f 7ae79e81c07ac906e5ede6dc571c9d237bed366650452cfea41c5b0cea44f7a7
(226d,2c6b) (255,31f) #7a1#6e7#1665#1665#1570#402#18b0#418#1fb#
(299,1687) (7cd,4793) #12b0#2de#a08#4ab#a98#305#2de#29#1305#150a#
(6bb,1687) (7cd,4793) #10a4#979#24d#2e#1219#110b#979#f64#e95#a68#
(4393,4ad1) (2183,2ed9) #1033#3e43#154c#440f#4005#3b10#3e43#2426#1bbe#2320#23a5#
(277,495b) (12cb,15e9) #2bd7#1ddd#d62#191d#1fb4#48b4#1ddd#3ed9#a49#3edd#4565#
(3319,3695) (403,111b) #24df#2ba9#3333#14fb#199a#853#853#853#bf6#309#
(493d,aadb) (255,31f) #9bc3#75e5#44c7#44c7#4ef4#6b11#5bec#5d2e#3716#
(2b3,365) (255,31f) #20c#69#da#da#1b8#2f3#139#66#286#
(57,12eb) (403,111b) #10f0#99d#1058#bd5#257#775#775#775#423#ab7#
(dc7,7523) (12cb,15e9) #14c1#4f0f#1b12#ba3#3273#4af3#4f0f#2f5f#513f#61ad#189#
(19c1,454d) (6583,9d37) #738#1b13#31c1#155#1da0#3e69#62c#2077#1da0#16c6#1b92#
(af9,191f) (213,661) #61e#bb1#98f#ad8#98a#331#331#98f#120b#
(1ebb,2d83) (213,661) #1049#324#9ac#2958#db8#2a64#2a64#9ac#6e0#
(547,5b1) (255,31f) #1f9#70#589#589#59f#413#585#4e1#86#
(2ecf,40bb) (5af,919) #2c62#2456#30f4#1262#592#21ed#10a2#21ed#7d7#
(3e57,8c45) (12cb,15e9) #4fff#4de8#935#841#59ca#27fd#4de8#875e#44c#8156#2a2e#
(7cd,4793) (97,215) #1c14#3b79#20cf#418b#50f#b65#2acb#2aff#
(1883,206b) (7cd,4793) #1916#1827#75#31d#1af#1e71#1827#aac#ac2#160c#
(1cf,34f9) (7cd,4793) #3239#ea7#2dc1#739#207a#514#ea7#32b0#349e#3406#
(c93,1447) (463,b7d) #acb#3b8#d9f#143#1ef#69a#8cc#6d5#1370#
(55c9,7a51) (12cb,15e9) #2ed2#7425#610f#73a2#7456#292e#7425#7fc#2b86#11e6#292b#
(7151,d5b3) (97,215) #96a6#1eab#6e92#c6cf#3779#27da#a04d#b352#
(43,8c9) (97,215) #4e1#21d#4e3#ff#8be#22c#f8#59#
(6583,9d37) (6583,9d37) #426d#23bc#3c71#1208#974c#480e#6dbc#8830#974c#be7#4d2d#
(65eb,9967) (403,111b) #65e7#165d#70d8#67ed#9715#933c#933c#933c#936e#8cc8#
(9b3,bd5) (403,111b) #3f7#451#5e#373#5c5#7bc#7bc#7bc#b89#92b#
(1e51,20dd) (213,661) #4ec#9d4#4e8#206c#4ad#114b#114b#4e8#1053#
(7f,17db) (213,661) #a3e#505#8ad#5bb#49#10c5#10c5#8ad#9#
(1c9f,3563) (6583,9d37) #da7#1790#31ab#1b60#1fa4#500#12df#1b9d#1fa4#19d4#1eeb#
(70f,49a9) (6583,9d37) #1929#343f#2195#147e#84f#42bb#4f4#4960#84f#15d7#1d38#
(213,661) (463,b7d) #390#4b4#5c2#3c2#63#4e2#245#43b#36e#
(86f,be3) (6583,9d37) #5ca#5b#bb9#711#154#705#388#3c0#154#5b2#5a#
(69e5,d795) (255,31f) #10f8#d02a#19d7#19d7#46e7#1721#25f3#c0dc#953b#
(f73,1961) (12cb,15e9) #4f3#1258#424#7b8#b25#6b1#1258#bdb#187b#1561#4fd#
(1a89,231d) (2183,2ed9) #791#13c9#1498#2014#22a9#1335#13c9#65#1f2a#85#125f#
(781,e03) (6583,9d37) #358#80c#24#1e1#60b#e7#941#64#60b#37#458#
(66b5,896f) (255,31f) #4d06#13d2#27c6#27c6#23b8#7259#5e42#5b8b#98c#
(f89,1e31) (5af,919) #13f#143#ee1#1dbd#18bb#36f#120d#36f#a2b#
(195f,3451) (6583,9d37) #107c#1cfe#2937#1c80#1b48#50e#2624#11a8#1b48#1a37#33c4#
(20f,4f7) (6583,9d37) #f5#107#9e#13b#396#37#25#a#396#14b#334#
(1aff,206b) (213,661) #1287#a6#c92#1fdf#994#1bcc#1bcc#c92#1107#
(1655,23cf) (6583,9d37) #2fd#3e0#30f#10ad#1153#796#1ff8#ac5#1153#1bae#597#
(367d,42a7) (463,b7d) #b57#330#3ccf#16b7#1f2b#772#a12#3f67#30a4#
(539,725) (12cb,15e9) #342#17b#c3#5cb#f2#626#17b#440#2f#13c#1c0#
(ea5,39d3) (463,b7d) #cf0#3576#68b#3550#3379#da0#349e#32d9#6d2#
(445,9bb) (12cb,15e9) #870#381#67#915#cc#9b2#381#13e#1d8#2ea#8db#
(c87,9217) (97,215) #f71#6c34#113c#651a#6e8b#6eee#1638#9a3#
(339d,3fdf) (2183,2ed9) #1827#2e2a#2480#3c50#a9b#970#2e2a#112b#23cf#39c8#adf#
(1bd,68f) (403,111b) #bf#4a5#6#f1#267#62e#62e#62e#4d3#4fd#
(467,5ed) (97,215) #3d7#263#241#156#1e3#10a#305#572#
(3f7f,7757) (6583,9d37) #5586#34e7#33f5#2f4a#1c27#3616#411#1d0b#1c27#639f#133a#
(24d,9cd) (255,31f) #4d4#483#7ac#7ac#89a#3b4#31#97d#3f8#
(7c7,c59) (255,31f) #562#6ca#a73#a73#b4a#713#be0#83b#303#
(400f,484d) (12cb,15e9) #24be#2baf#19f5#310f#12c3#2ec1#2baf#d5#2532#239a#3484#
(33d,5e4b) (12cb,15e9) #21e3#4a57#3457#2057#2532#2473#4a57#4de7#533f#3c9b#22d8#
(1067,15a7) (213,661) #ffb#edb#ed5#1573#346#138b#138b#ed5#84a#
(36ef,666b) (213,661) #61ff#510a#401a#50e1#1f7a#5638#5638#401a#1dd2#
(113b,12eb) (213,661) #613#10af#fb6#e3f#3ae#240#240#fb6#af1#
(73,4df) (5af,919) #31e#180#341#c1#3b3#365#3b8#365#2e6#
(1e77,2707) (213,661) #35b#2118#1e4e#21fc#6c#2b0#2b0#1e4e#1713#
(2133,278b) (463,b7d) #1af0#d74#987#20ee#1902#f03#21bc#241e#1826#
(403,111b) (6583,9d37) #cca#eb4#f42#a0d#1072#7f9#92c#bde#1072#864#6c0#
(107,20f) (97,215) #1a6#63#d#8d#ed#4c#2b#83#
(255,31f) (7cd,4793) #219#1ad#247#1de#10a#276#1ad#1f7#99#e3#
(73d,6ecb) (12cb,15e9) #2dc5#545f#183e#5d43#6d69#a6c#545f#67f4#5b70#3260#6050#
(1475,4aa5) (5af,919) #3ce7#321d#485f#312b#4236#204f#64#204f#ff8#
(12cb,15e9) (12cb,15e9) #14e0#ed9#c84#539#f49#e64#ed9#5ff#5f3#39#1084#
(1c07,3d69) (12cb,15e9) #2b36#289f#973#1413#2973#224a#289f#2c73#14e#1ac7#1163#
(199,1af5) (97,215) #2f9#eb5#15f1#2fd#aa8#1855#103#9d1#
(4c1,6cb) (187,215) #3a#688#188#3d1#e7#557#688#271#2b3#
