(8d1,27cb) 3 0217b21ef9f6b4e536494d036c561a644ac73b7d096aed5cf8c6bc9f0caad8e4 58ee419b11642cac75a869bc472a064a6a385d84e81ca8b6e2248fc174dbd7f4
(4217,50ab) (db7,1295) #4163#12f9#1cdc#1ee2#23f6#ed5#623#2d46#4d5e#1a85#
(b57,42a7) (79,f7) #28cc#f6#3b18#d50#a7f#f6#1457#
(4d3,ef3) (197,15e9) #bfc#8e0#a2b#22#e73#8e0#375#a3a#a2b#8c#
(521,3bef) (126d,14ef) #2215#1307#254a#3f1#5f8#18c8#1307#3720#2643#c5d#10f9#
(2fcb,54bb) (db7,1295) #1476#47e#2f19#26d6#26ca#1b4f#22c5#66d#33be#4dc2#
(809,20cf) (8db,195d) #20a1#b32#dc5#76e#1423#17fa#bd5#1767#dc5#1db6#
(3937,4d11) (126d,14ef) #113c#33ce#3bdf#3448#2d8#1cae#33ce#b71#419a#81#3878#
(1949,321b) (126d,14ef) #10c5#f70#1b44#23fa#19a4#19ea#f70#2ee6#2f58#1f91#2420#
(44bb,6433) (8db,195d) #2c4e#c2#485b#f1#cbb#3a60#11c8#691#485b#2090#
(4af5,7c57) (8db,195d) #45e5#178e#2dc0#4bec#77c4#7818#173e#3376#2dc0#1771#
(381,7b1) (8db,195d) #12b#6c0#3b3#37a#dc#e0#25a#3a#3b3#6c5#
(cc5,4d75) (db7,1295) #3b9c#f13#18ad#1d19#3f62#4771#4925#4790#64a#3c6a#
(52b,b7d) (29d,877) #aac#42e#b34#b64#470#226#4c4#4c4#399#
(113,fdf) (d1b,1403) #e4c#efa#9#d2a#6eb#9#661#c5#e25#e#
(c83,11f9) (db7,1295) #34#ad8#903#149#df2#24#1fe#ef#5c4#437#
(10b7,13cd) (db7,1295) #d9a#ae#177#f3a#cff#1289#e25#1399#10f#1004#
(c97,d4b) (79,f7) #75d#738#434#104#80a#738#3af#
(aeb,697f) (19ed,4db9) #5e2f#159a#54b8#2096#5143#4934#52f3#5143#790#54b8#abc#
(266f,4ba7) (3c5,bff) #27ee#113f#2d80#2f48#182c#3799#1c93#1c93#12b#
(8b3,1cd3) (19ed,4db9) #1a6a#577#643#1177#141c#5af#1fc#141c#33a#643#abc#
(bcb,e0f) (3c5,bff) #590#4d5#1e0#cc7#39d#3f1#bb0#bb0#3d3#
(2c0d,773b) (79,f7) #4f5f#4a6#546a#76c1#32fa#4a6#14f5#
(79,f7) (197,15e9) #e#31#39#51#a1#31#de#da#39#2#
(29d,877) (197,15e9) #1d6#807#11#6f6#65c#807#68d#3d#11#57c#
(3db7,460d) (197,15e9) #32b6#1c2e#24c7#32d3#9bb#1c2e#3d5e#3cbd#24c7#da0#
(3e59,7c85) (29d,877) #469a#4d17#6d27#79ef#35de#72b0#39a9#39a9#683f#
(3793,3f13) (8db,195d) #3cc7#1208#3558#1ba4#9ec#db3#162f#1b7e#3558#f0b#
(4d5,71b) (db7,1295) #290#62f#ea#565#43a#5a7#51c#703#52c#e3#
(28cf,321b) (d1b,1403) #aef#1091#ded#11fe#ff1#ded#f45#3eb#20a5#1c2a#
(4c63,61bb) (126d,14ef) #28fe#3baa#1f67#107a#2450#56e3#3baa#3970#50e4#4727#4428#
(be7,ecf) (19ed,4db9) #b8#aec#7b1#1a8#4ae#2f1#3db#4ae#2bd#7b1#aac#
(8051,b7eb) (d1b,1403) #9da#af9c#894#929d#7ab1#894#3f35#208a#2e62#2e57#
(3c5,bff) (d1b,1403) #8e6#b75#741#208#43a#741#18a#acd#2dc#19#
(11fb,2d47) (197,15e9) #48c#c53#f73#1e8b#1e06#c53#44b#2351#f73#2429#
(2573,4793) (3c5,bff) #2b2c#2f60#d45#20fa#3214#29b9#252e#252e#2d69#
(d1b,1403) (79,f7) #e8#53c#1284#d0e#cc3#53c#4f3#
(557,8d1) (197,15e9) #18b#884#7b6#23#260#884#20d#68c#7b6#8c8#
(7,289) (126d,14ef) #254#19b#ac#20#7a#113#19b#103#c3#20a#166#
(7345,aeaf) (126d,14ef) #2328#1a11#2282#62a5#9350#a4ab#1a11#2ae#39f2#59dd#7d9#
(6e7b,7cb1) (29d,877) #6d7c#27d5#3cad#8b5#31ec#179c#522c#522c#1460#
(126d,14ef) (db7,1295) #b7e#6cd#7ea#afe#122#1489#542#b29#530#8a3#
(1cd,1627) (79,f7) #163#7bc#b59#72e#ce0#7bc#4c5#
(47f,ac9) (2c0d,773b) #28#32#932#8a7#64#370#44c#44c#33#3bc#45f#
(7adb,a661) (197,15e9) #7572#31#57c9#9f14#4f5d#31#a274#833e#57c9#97bb#
(57b,ac9) (29d,877) #ab#a84#259#42c#3c8#a46#457#457#93f#
(2b1,bed) (79,f7) #3ec#6af#475#3de#4f4#6af#3bd#
(36d,9e9) (79,f7) #7c#2fc#7cb#d8#5ba#2fc#79f#
(ee7,1409) (2c0d,773b) #1224#c44#11c4#487#6e4#1262#f09#f09#120c#102e#74a#
(b69,d33) (29d,877) #c2a#2d3#7e5#4ec#9b3#651#676#676#9c3#
(1df,81d) (197,15e9) #c1#187#389#589#4a#187#2a3#786#389#361#
(ca7,104b) (19ed,4db9) #49a#8b5#d96#f71#938#12e#be1#938#b5f#d96#558#
(499,b53) (79,f7) #28#94e#14a#610#804#94e#65b#
(101b,15ad) (79,f7) #102#386#c36#1012#36e#386#986#
(737,373d) (db7,1295) #1268#173a#309d#507#244d#177d#2c9c#23b6#3536#1b02#
(1c49,203b) (197,15e9) #19fb#196c#1178#11b6#51b#196c#1233#11ad#1178#11dc#
(9899,c5bd) (126d,14ef) #2a88#1a74#155c#43f0#811b#cbb#1a74#9caa#b311#43d5#4dc9#
(21d,7ab) (d1b,1403) #90#510#1de#3bc#637#1de#1a0#766#332#600#
(cbb,1123) (19ed,4db9) #972#381#fed#6e#76e#18c#b79#76e#e7c#fed#549#
(8db,195d) (197,15e9) #670#6dc#1323#d82#307#6dc#8e#1393#1323#1870#
(2179,2dfb) (d1b,1403) #d28#172f#1b74#29b4#148b#1b74#ce5#1368#1528#1559#
(4df,8d7) (29d,877) #43a#59b#4fd#276#227#2af#8ae#8ae#6d6#
(2731,347f) (2c0d,773b) #239e#177d#32cc#29e8#bdd#2f74#108e#108e#2939#2acc#507#
(567,1c5d) (2c0d,773b) #110b#1158#736#1076#137#53c#d9#d9#1657#6f7#998#
(236f,27cb) (2c0d,773b) #2230#c32#21b0#2577#ed9#d21#7ee#7ee#c52#1e98#1020#
(db7,1295) (19ed,4db9) #100f#120d#fc1#11a9#f94#c69#a62#f94#203#fc1#eca#
(7b9,105d) (19ed,4db9) #4e2#b54#517#2eb#fc2#10d#c6f#fc2#f09#517#1038#
(73d,ba7) (d1b,1403) #951#ada#1a9#9b3#37a#1a9#956#82c#3f2#20#
(d7d,12eb) (29d,877) #b84#4e2#a14#ac7#41c#124f#a5e#a5e#7a3#
(1837,4da7) (197,15e9) #41aa#2d3#314f#4cf6#9fc#2d3#b23#4880#314f#1091#
(5b,1417) (79,f7) #150#4b3#ef#4a7#caf#4b3#788#
(242b,3563) (19ed,4db9) #d50#869#1380#1bb7#24fa#54c#cb1#24fa#2a9f#1380#13b8#
(6d55,b3cf) (29d,877) #70fe#103#91d6#a42c#ac93#7501#84b0#84b0#48fa#
(46f1,4b5b) (19ed,4db9) #e4f#109b#1dd0#3cc2#1ec5#a6e#27d0#1ec5#1771#1dd0#1c91#
(6229,952f) (79,f7) #3978#f92#217d#76ee#4a6a#f92#40c0#
(251,667) (d1b,1403) #565#64#444#62#2c#444#606#15a#570#5fb#
(636d,7acf) (197,15e9) #e2b#13a#4036#2cc9#3523#13a#4bb1#52d1#4036#3075#
(3619,4331) (19ed,4db9) #244b#27d7#be4#3a04#f20#370c#3540#f20#1db#be4#2a51#
(141,d63) (3c5,bff) #205#196#532#840#569#725#1dd#1dd#d7#
(bc9,2e15) (d1b,1403) #253d#10b#f1f#1205#103f#f1f#22cd#cdb#1bef#419#
(299,3ef) (79,f7) #199#33a#357#10#102#33a#1d5#
