(f85,1e3b) 3 16602986bc9cb2b3e829ad2f88a5cb2f591a66ea109b1598dfe5e8c00db2be34 5ba61a92197ccc8ff37e7a1a3414a152d7172271e022abc1d4bf79e77e7df18c
(96d,e41) (16a5,bd3b) #266#599#793#e2b#178#d9a#d7e#e3d#3b#d7e#bb1#
(27b3,5ec1) (caf,3709) #5786#439d#4f8b#3bca#2d17#21c1#5791#4b5d#42d5#220d#
(3499,60a7) (165b,36a3) #6047#28f9#3ecd#47cd#231c#5b30#c8d#3ecd#3540#c8d#4449#
(211d,26d7) (165b,36a3) #25c6#69c#e9a#86f#1837#1d8e#1a3d#e9a#1853#1a3d#6a3#
(49,143) (13df,1c01) #f9#31#33#64#66#b1#31#9c#69#31#e7#
(1475,1ae7) (165b,36a3) #10f3#674#104f#130b#5b0#1155#7b0#104f#61#7b0#ff8#
(10db,126d) (165b,36a3) #1133#e1#351#bcd#5b8#7d8#10aa#351#e43#10aa#cb7#
(229d,42a7) (13df,1c01) #7cf#21aa#1523#2e1b#4040#21d1#21aa#708#1800#21aa#4191#
(13df,1c01) (23f,1627) #f04#86b#730#1a2a#55e#11e1#11fb#86b#12ac#13d4#
(45b9,4a63) (45b9,4a63) #3542#1d86#16d0#31be#322d#4637#1d86#2b9b#1d7b#33b4#21e0#
(240b,b3cf) (165b,36a3) #4540#3137#4195#ae35#214a#3254#29b3#4195#3cd1#29b3#5697#
(67,ef3) (165b,36a3) #a1e#1b4#258#edf#da0#3de#e18#258#737#e18#2fe#
(3271,522d) (45b9,4a63) #1241#3869#160c#2611#3c41#5ae#3869#443a#a58#1e9b#1afc#
(24b,41e3) (165b,36a3) #37fa#34f4#1895#27af#1064#19ce#26e7#1895#32f8#26e7#a04#
(dc3,60dd) (23f,1627) #35da#49ea#27dc#37eb#4c89#2cbc#5ff9#49ea#1abc#5745#
(a199,a3bd) (13df,1c01) #3e8d#23fa#f9#2b82#2c3f#9206#23fa#34b#7be3#23fa#5d7d#
(347,39b) (caf,3709) #12c#13d#261#228#15#b5#182#fa#1f6#36e#
(9c7,7b41) (165b,36a3) #104d#719e#7052#7201#2c0c#2510#48f8#7052#3ca6#48f8#6ae6#
(3f13,68e9) (165b,36a3) #1f05#14d1#26e7#fda#2afd#1a5e#42b0#26e7#876#42b0#ec2#
(1925,5b61) (15d,6bf) #ae6#86f#2443#1d66#2855#1a76#1c16#2fc#368e#
(90b,40bb) (caf,3709) #2fbc#320e#966#4045#f01#252#36e5#70a#2de5#ae8#
(187,96d) (23f,1627) #5fe#907#315#93b#4c9#4cb#64d#907#4c5#489#
(1c39,34d9) (23f,1627) #272c#223f#b73#334#1437#2ce3#272a#223f#14b4#cea#
(701,a2b) (caf,3709) #de#63a#7b2#7d#8b4#a26#266#2d5#629#1c4#
(407,7433) (1571,3af1) #bbe#229a#6676#1115#229a#4c34#199a#6b01#506b#229a#6cc1#
(62d,6af) (45b9,4a63) #66d#344#3d4#1e5#58c#3bb#344#5a7#98#679#2e1#
(5b7b,70a9) (15d,6bf) #3156#6362#3497#3903#391d#689f#234c#2c8a#440a#
(1733,5153) (165b,36a3) #1200#440c#1c85#1304#2648#13cf#298b#1c85#76#298b#4c3f#
(a43,2621) (23f,1627) #1b6e#1cde#1142#1732#1ce5#630#13bc#1cde#1090#17ea#
(47df,5887) (165b,36a3) #113d#638#1c93#3ec7#20ce#ab5#251c#1c93#39a3#251c#46df#
(12d1,3613) (165b,36a3) #2392#1475#2147#2f38#1b06#2203#28fe#2147#2e78#28fe#87c#
(2e7,8e7) (caf,3709) #c5#22a#469#876#434#89#11f#8af#24e#8ba#
(1c89,4b8b) (23f,1627) #3603#678#6f7#2b7f#4667#2e2b#1702#678#2df3#2811#
(61,cdd) (23f,1627) #630#160#5d6#494#124#975#7cc#160#bb0#2c2#
(479,114d) (165b,36a3) #43c#f17#f16#7f3#e8e#7e6#d5b#f16#be5#d5b#f22#
(39d,7a9) (165b,36a3) #3e0#2aa#351#562#2ac#1b8#3d0#351#28c#3d0#97#
(42af,d5cb) (23f,1627) #9967#3a7f#6f3d#cc36#b671#9f5b#a3b1#3a7f#a0c6#41bb#
(caf,3709) (23f,1627) #2889#1a48#b15#306c#d2c#36d8#1d65#1a48#1167#d7#
(7061,982d) (165b,36a3) #8ab0#4ee8#7443#166f#153#72af#97e1#7443#2bb#97e1#4067#
(45ad,5011) (45b9,4a63) #2558#44dd#4c60#4f7e#909#2077#44dd#1c1e#1677#125#2f1a#
(be79,de91) (165b,36a3) #940f#c47d#36c5#4e0#c409#1d82#bb55#36c5#85e0#bb55#29f#
(33f5,42d7) (165b,36a3) #28#177d#29d0#64f#62#8c5#3c1b#29d0#3c49#3c1b#75f#
(165b,36a3) (23f,1627) #ab0#2b0c#277c#29bb#2019#1316#12e1#2b0c#21ab#1600#
(1349,96b3) (1571,3af1) #5616#c42#7998#56f9#c42#8765#2a6a#139b#53f8#c42#38a7#
(96d,1c79) (1571,3af1) #81b#1751#e5f#c11#1751#13d4#f3b#526#1252#1751#b6f#
(b89,f61) (23f,1627) #a#c80#dff#9ba#6fd#b4c#5ce#c80#64f#50b#
(34b1,5369) (15d,6bf) #39a3#3a77#2bd8#22a7#42c1#3b30#34b#4f9c#2ae2#
(1a05,4427) (15d,6bf) #13ce#32aa#27b7#3600#3371#3a19#982#400c#2b38#
(f8b,1439) (caf,3709) #4cd#11d3#78a#6bd#6dd#294#1a4#300#b9b#ad9#
(ad,4c3) (165b,36a3) #464#22a#3bb#d4#3#66#56#3bb#9b#56#3b5#
(c4d,21bf) (165b,36a3) #1af3#154d#18d9#1b89#16c8#a72#1a92#18d9#f6a#1a92#f79#
(a8d,daf) (165b,36a3) #bc8#810#8cf#52c#62#9fb#c4f#8cf#8db#c4f#d7b#
(1c3f,1ee9) (165b,36a3) #e69#1eb8#145d#e79#d09#e78#f93#145d#a75#f93#abb#
(1c65,304f) (45b9,4a63) #1aba#2e41#1717#2249#1fcb#2442#2e41#99f#f92#2fc8#27d2#
(f6b,2039) (23f,1627) #a51#1103#1db2#1343#af7#f20#d44#1103#542#10d1#
(6bb9,71d7) (165b,36a3) #1cb7#4f5a#6b4f#57cf#2e16#5e17#3a53#6b4f#4898#3a53#9b3#
(119,ff7) (165b,36a3) #709#a6d#a9b#21d#287#21f#4f#a9b#dc2#4f#4b0#
(3b39,65c3) (15d,6bf) #22be#81a#34fb#1f31#28ee#5d99#3e02#4610#315c#
(3229,38f3) (45b9,4a63) #566#102b#314b#2acc#5b4#2740#102b#118#d8e#3092#30c5#
(3d,1c3) (23f,1627) #28#32#33#66#197#31#112#32#18c#29#
(16a5,bd3b) (1571,3af1) #5dc5#10c7#4d6#4caf#10c7#1cf#7e7f#6b73#40a2#10c7#1e6e#
(4d2f,8ee5) (165b,36a3) #edb#8ed5#5a47#52dd#62b5#2698#57aa#5a47#84d6#57aa#2580#
(15d,6bf) (caf,3709) #244#554#262#f#129#5a9#302#92#1a8#167#
(547,3617) (23f,1627) #163e#2e45#ac3#6d5#1990#f34#1949#2e45#2bde#25cf#
(223,439) (165b,36a3) #2af#144#331#61#48#a#2da#331#b2#2da#1a4#
(12df,37ed) (45b9,4a63) #36ff#1818#2496#6e6#39#344c#1818#23ac#1e13#203c#fe8#
