(7,8) 1 2d973910e3661a7aa7b6652ea399ad0134baabf8b8ede57e8061fe5e699c20fd eb04020554c2ef58d633c1c71d7aaf0f789fa5e885ddbd1901498d2f5adf7685
(2183,2ed9) (1689,317b) #1316#1b95#1944#4bc#2a37#1cea#5f0#1b95#25d7#2299#1651#
(af9,9d37) (107,20f) #1c44#1198#f5f#9c7a#8dfb#449c#f5f#412e#2e95#
(5553,6307) (445,9bb) #2a25#17fd#17fd#3d6#1a2a#402f#3c80#3c80#4274#
(ff1,34c7) (547,5b1) #1905#1c86#1bd#344#1dc1#1c86#f8f#2fca#1550#
(20c5,5d35) (7f,17db) #53c8#42e5#416d#f1a#492e#42e5#288e#1a74#20bf#
(143b,3bcf) (1067,15a7) #12ab#206c#43d#1e08#b9b#3382#206c#39d0#23d1#b9b#2216#
(6c5,203b) (547,5b1) #19fb#120e#3f9#126f#10d0#120e#1348#227#97a#
(8a5,c59) (547,5b1) #7f9#2b3#173#aa3#b46#2b3#1be#64f#956#
(5351,7055) (107,20f) #2d5a#100#2ba5#6378#4c6b#3ec5#2ba5#330b#292#
(226d,2c6b) (547,5b1) #7a1#1665#a1f#497#1570#1665#be2#18b0#1fb#
(299,1687) (299,1687) #12b0#be7#29#29#a98#7b0#1595#11fe#2de#150a#
(6bb,1687) (1689,317b) #10a4#8a6#d97#f08#f64#1219#e95#8a6#979#695#a68#
(4393,4ad1) (445,9bb) #1033#61f#61f#3349#3b10#2320#1301#1301#23a5#
(277,495b) (107,20f) #2bd7#1ddd#44f#2e5f#48b4#d62#44f#28c9#4565#
(3319,3695) (107,20f) #24df#853#3333#345d#199a#1335#3333#1f0b#309#
(493d,aadb) (547,5b1) #9bc3#44c7#6fc4#746f#4ef4#44c7#934c#5bec#3716#
(2b3,365) (1067,15a7) #20c#139#46#2b#37#1b8#139#da#20e#37#286#
(57,12eb) (199,1af5) #10f0#775#705#705#257#775#11c1#614#520#ab7#
(dc7,7523) (107,20f) #14c1#4f0f#30eb#1046#4af3#1b12#30eb#2ee5#189#
(19c1,454d) (445,9bb) #738#253d#253d#31c1#3e69#62c#30f0#30f0#1b92#
(af9,191f) (1aff,206b) #61e#98f#35c#3ce#3ce#98a#bb1#18e2#331#2f0#120b#
(1ebb,2d83) (199,1af5) #1049#9ac#22b7#22b7#db8#9ac#27cf#2284#22ef#6e0#
(547,5b1) (7f,17db) #1f9#4b2#4e1#59f#585#4b2#7#442#86#
(2ecf,40bb) (199,1af5) #2c62#10a2#21ed#21ed#592#10a2#30f4#1262#2456#7d7#
(3e57,8c45) (1aff,206b) #4fff#4de8#18cc#81d0#81d0#27fd#935#796c#8938#59ca#2a2e#
(7cd,4793) (107,20f) #1c14#b65#2ea1#20cf#418b#50f#2ea1#38ca#2aff#
(1883,206b) (1067,15a7) #1916#c92#1195#18c1#1827#1af#c92#19c#316#1827#160c#
(1cf,34f9) (1689,317b) #3239#f59#32c6#2a#32b0#207a#349e#f59#ea7#d90#3406#
(c93,1447) (1067,15a7) #acb#12c1#703#d9f#8cc#1ef#12c1#805#1192#8cc#1370#
(55c9,7a51) (1067,15a7) #2ed2#7425#1a59#255#66bc#292e#7425#7fc#6bd9#66bc#292b#
(7151,d5b3) (1689,317b) #96a6#27da#2a23#8dd9#1eab#c6cf#a47d#27da#6e92#af75#b352#
(43,8c9) (1aff,206b) #4e1#22c#67a#65b#65b#ff#8be#4e9#ce#464#59#
(6583,9d37) (1aff,206b) #426d#1db4#29c6#7285#7285#480e#30e#1e05#23bc#7331#4d2d#
(65eb,9967) (107,20f) #65e7#933c#70d8#66c1#9715#4053#70d8#372b#8cc8#
(9b3,bd5) (547,5b1) #3f7#8a3#451#49b#5c5#8a3#b89#7bc#92b#
(1e51,20dd) (547,5b1) #4ec#1bbd#1a7b#1d0e#4ad#1bbd#cf6#4e8#1053#
(7f,17db) (547,5b1) #a3e#1237#146e#11ba#49#1237#597#8ad#9#
(1c9f,3563) (107,20f) #da7#2a1c#11c#19d4#500#2e55#11c#178b#1eeb#
(70f,49a9) (299,1687) #1929#1367#4f4#4f4#42bb#11c3#343f#147e#15d7#1d38#
(213,661) (1689,317b) #390#120#5c2#bd#346#63#3c2#120#245#4e2#36e#
(86f,be3) (199,1af5) #5ca#27d#388#388#705#27d#46c#77#bb9#5a#
(69e5,d795) (7f,17db) #10f8#6216#c0dc#46e7#25f3#6216#247d#123e#953b#
(f73,1961) (7f,17db) #4f3#2ea#46e#6b1#1258#2ea#4be#b25#4fd#
(1a89,231d) (1aff,206b) #791#1498#898#b0d#b0d#1335#13c9#12d4#15d8#1268#125f#
(781,e03) (445,9bb) #358#91a#91a#24#e7#941#54c#54c#458#
(66b5,896f) (1067,15a7) #4d06#5e42#7b7f#4db7#330a#23b8#5e42#27c6#7d0#330a#98c#
(f89,1e31) (107,20f) #13f#120d#1c76#1971#18bb#908#1c76#1dbd#a2b#
(195f,3451) (107,20f) #107c#2a62#19a5#1a37#50e#6bc#19a5#2262#33c4#
(20f,4f7) (445,9bb) #f5#27d#27d#9e#37#25#f2#f2#334#
(1aff,206b) (1067,15a7) #1287#c92#786#1bcc#f0d#994#c92#1610#3c7#f0d#1107#
(1655,23cf) (445,9bb) #2fd#1d59#1d59#30f#796#1ff8#8f6#8f6#597#
(367d,42a7) (299,1687) #b57#3806#4080#4080#1f2b#1da3#3ccf#120b#a12#30a4#
(539,725) (7f,17db) #342#5a7#39f#626#17b#5a7#6d2#f2#1c0#
(ea5,39d3) (107,20f) #cf0#154c#ca3#349e#3379#27a0#ca3#280c#6d2#
(445,9bb) (299,1687) #870#67#2ea#2ea#9b2#381#1a9#2b4#564#8db#
(c87,9217) (1aff,206b) #f71#6eee#75c2#36d4#36d4#651a#6e8b#2025#88aa#902f#9a3#
(339d,3fdf) (107,20f) #1827#2480#1618#18a9#970#2e2a#1618#39af#adf#
(1bd,68f) (1689,317b) #bf#62e#584#533#321#267#f1#62e#258#4d3#4fd#
(467,5ed) (1689,317b) #3d7#10a#48d#112#263#156#5ab#10a#241#307#572#
(3f7f,7757) (1067,15a7) #5586#6931#4c44#34e7#639f#3616#6931#33f5#27b4#639f#133a#
(24d,9cd) (1067,15a7) #4d4#31#a5#6c3#753#89a#31#7ac#1cd#753#3f8#
(7c7,c59) (1067,15a7) #562#be0#490#136#232#b4a#be0#a73#15#232#303#
(400f,484d) (1689,317b) #24be#2baf#25b0#1f9e#239a#2ec1#21ab#2baf#390d#12c3#3484#
(33d,5e4b) (299,1687) #21e3#3457#3c9b#3c9b#2473#4a57#42a9#275f#5d#22d8#
(1067,15a7) (7f,17db) #ffb#e7b#b32#346#ed5#e7b#331#e7a#84a#
(36ef,666b) (299,1687) #61ff#510a#35d5#35d5#1f7a#401a#5638#1c26#3b5b#1dd2#
(113b,12eb) (299,1687) #613#10af#fbe#fbe#3ae#fb6#240#63d#9c1#af1#
(73,4df) (107,20f) #31e#3b8#164#31a#3b3#30d#164#c1#2e6#
(1e77,2707) (299,1687) #35b#2118#117c#117c#6c#1e4e#2b0#24cb#c6e#1713#
(2133,278b) (299,1687) #1af0#1d29#2656#2656#1902#12ce#987#f25#21bc#1826#
(403,111b) (107,20f) #cca#929#f#864#7f9#597#f#b7c#6c0#
(107,20f) (445,9bb) #1a6#56#56#2b#8d#63#f2#f2#83#
(255,31f) (445,9bb) #219#276#276#20d#10a#1f7#c8#c8#e3#
(73d,6ecb) (445,9bb) #2dc5#60c4#60c4#67f4#a6c#3260#6d69#6d69#6050#
(1475,4aa5) (199,1af5) #3ce7#64#204f#204f#4236#64#485f#312b#321d#ff8#
(12cb,15e9) (199,1af5) #14e0#ed9#39#39#e64#ed9#415#dcb#5ff#1084#
(1c07,3d69) (1067,15a7) #2b36#289f#245#36db#26aa#224a#289f#2c73#c6e#26aa#1163#
(199,1af5) (1689,317b) #2f9#1855#a45#2a2#eb5#2fd#b10#1855#15f1#2cc#9d1#
(4c1,6cb) (299,1687) #3a#557#15f#15f#e7#688#82#188#3d1#2b3#
(1aa7,2a7d) (1067,15a7) #c09#384#bca#4ec#a32#2892#384#f3a#1a24#a32#502#
