(2b3,8d1) 3 04f8ebb2cba393642e4443fa087aecbed7dedb957aef91cfd93951a39a2da75e 959df8f33e15526972cedefde8d02494037d5de739710c12bc9ecdb3078b5df0
(417f,4c5d) (35f,3785) #3457#1dd2#1532#2c7f#37b0#1dd2#3fe0#23d#1532#1bab#
(fe9,411d) (35f,3785) #3b1e#2925#355#3f2b#1738#2925#bd1#29c1#355#40f#
(445,105b) (da9,1ee9) #28#64#61#39#2c#31#65#65#39#29#
(32b5,3e3b) (da9,1ee9) #4ad#196c#116a#313e#dbb#1ec9#2796#2796#313e#403#
(425,d45) (1219,27df) #569#457#c68#457#8ff#811#c68#959#c4#d5#63b#
(50b,25e5) (1ef7,484d) #2169#1264#24a6#67f#238#15f2#6e8#5fc#6e8#1531#1fc6#
(305,4ed) (8bf,1a29) #445#316#247#25d#1cc#42e#369#f1#109#47e#
(127,1907) (283,287b) #8e4#f25#66f#bca#765#f25#66f#33d#dd2#1074#
(a7f,59cb) (abb,213d) #aa1#5277#198b#198b#2b1d#456#f5e#874#5308#293c#
(647,1097) (1ef7,484d) #f5#95a#100c#d11#b58#aa1#527#c40#527#93e#4c7#
(41f,8b1b) (da9,1ee9) #6051#1d09#7831#abb#368a#57f4#50af#50af#abb#22b0#
(9efd,d987) (abb,213d) #d705#c34e#c9#c9#4aba#a2cc#ce1b#515d#8013#be11#
(1c3,a43) (1219,27df) #356#a05#958#a05#80#6d2#958#875#8a1#77b#2e8#
(407,7a9) (8bf,1a29) #1b3#13c#594#121#31#57a#1d9#387#3a2#3a#
(3b9b,522d) (1219,27df) #25eb#42e8#8cc#42e8#8fb#ef2#8cc#43ca#4c06#1661#24e2#
(1ef1,3587) (8bf,1a29) #2216#33cd#2611#8e7#1d0d#148c#32e3#2766#1d58#2043#
(16b,8b3) (abb,213d) #31a#836#543#543#294#571#47c#3a7#713#be#
(e1d,15eb) (abb,213d) #1025#e79#1137#1137#c32#6b0#5d9#de0#112f#14e8#
(623,4c25) (35f,3785) #42e4#257e#271a#1cce#2a0b#257e#3cc#4b0e#271a#18b2#
(7101,af81) (1ef7,484d) #3015#2d2b#3e19#5763#862a#8db6#3c3f#4a77#3c3f#427a#32c1#
(6c5,3875) (1219,27df) #2419#126#63f#126#10f3#4d4#63f#8f6#2798#333e#1de1#
(42c5,9d6d) (137b,2009) #4fb9#36e4#84a2#81ae#3836#2887#6cf2#32c6#32c6#8b52#18aa#
(283,287b) (35f,3785) #149d#1f03#55b#233e#82#1f03#15ae#1da1#55b#156a#
(e05,56f5) (137b,2009) #e43#4956#4e55#86#4a8a#1ac1#3560#98c#98c#2522#4088#
(48b,61bd) (abb,213d) #4d19#23da#21bb#21bb#6a5#51b7#480d#1df3#5fcd#479a#
(2ab7,2f3b) (137b,2009) #1724#16b4#16da#12e0#2605#1695#d67#2d2e#2d2e#1333#a3#
(22a3,57e3) (1ef7,484d) #573f#2c9c#38bc#3389#3470#4517#1d54#20d1#1d54#244b#1614#
(853,1e3b) (da9,1ee9) #4b9#16b#36b#1669#1231#6b1#1110#1110#1669#c9d#
(2deb,a01f) (137b,2009) #9fe4#1527#293f#b55#72a7#90e6#9102#2e2#2e2#4bc5#999b#
(35f,3785) (107,7a5) #1051#2778#25b4#3229#301b#3229#1970#1b09#1180#
(28f,49c1) (8bf,1a29) #bda#2b0#480f#19b4#5b2#2741#2322#3e0c#2c42#1ec7#
(23dd,2bb5) (1219,27df) #d2#29ea#272b#29ea#1570#11bc#272b#126c#778#981#175f#
(107,7a5) (8bf,1a29) #25a#298#1fd#46c#479#468#610#60b#299#5b3#
(2acb,303d) (107,7a5) #29ef#310#1575#21c7#2f76#21c7#2bbc#18d8#b4#
(511,54bb) (35f,3785) #237f#4674#51f5#3907#4077#4674#7e1#18ea#51f5#96#
(359,9cb) (8bf,1a29) #4d6#a8#39c#91#330#510#236#6#8cc#65#
(8bf,1a29) (283,287b) #122f#1a9#19ff#854#1179#1a9#19ff#e2f#cf0#1826#
(7a9,9bb) (1ef7,484d) #145#1b7#72d#645#23b#502#7a8#540#7a8#88d#14#
(3b5,8b7) (107,7a5) #58a#8ac#6c#878#429#878#4ed#2a9#36e#
(1219,27df) (abb,213d) #f7b#116#20c2#20c2#207c#541#1a28#1588#1f2c#171b#
(445f,484f) (35f,3785) #ca8#3542#37a7#1d03#33a6#3542#466a#3fc6#37a7#1b60#
(733,2b0d) (107,7a5) #fa0#8ea#1ea8#994#1adb#994#ea#13cc#1498#
(929,18a9) (283,287b) #d7e#b3b#2c0#f39#1160#b3b#2c0#823#17e9#60f#
(1ef7,484d) (abb,213d) #1a4a#25a1#47de#47de#ffd#fe5#fb6#594#1c45#2c37#
(165d,1b5b) (8bf,1a29) #997#1647#9d3#dbb#1809#de0#186f#bc4#24a#ea2#
(12b,367) (1219,27df) #230#31d#346#31d#2ed#237#346#d9#d3#bc#354#
(226f,371f) (283,287b) #2e72#1a5b#3351#ca1#aa1#1a5b#3351#2c86#22ab#30a9#
(97d3,b3cf) (137b,2009) #4540#3137#aa#5dde#214a#5269#5e38#3861#3861#4cc9#5697#
(581,1097) (8bf,1a29) #254#15a#1ac#91c#1027#9e2#b0d#46e#861#1037#
(1b7,583) (8bf,1a29) #2b6#36d#433#220#f3#7f#7e#ed#85#2a3#
(a76b,c6a3) (8bf,1a29) #72d4#b64c#214e#1982#4cb0#6e39#79f7#240e#ab0d#64ea#
(77b,1b77) (abb,213d) #129e#ce5#8a8#8a8#1613#17d6#d5e#5bb#32c#4fc#
