(257,1703) 1 0d34687245c538120f1dd79017ab8e59490744d7299a1f459d00cf0b043b32b8 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(36af,49b7) (865,1001) #40b3#42a5#3159#34a7#3974#2d24#2dc0#2dc0#2d24#1443#
(334f,3a09) (583,84b) #2cc2#97f#262d#1df5#2d8d#262d#33d9#3270#39de#
(227,545) (865,1001) #4ba#330#2fc#29b#22c#79#49d#49d#79#340#
(3cd,3e3b) (4a3,1235) #143b#d7#297f#3c5b#2cd5#18f7#3bd7#3c5b#1434#36ac#
(4f7,1925) (4a3,1235) #7d8#d3a#1797#12f0#aa0#49d#d94#12f0#1748#8f8#
(265,d49) (583,84b) #50e#c87#946#84a#d3c#946#5eb#334#2af#
(ca7,3283) (583,84b) #208d#987#f12#1a08#f93#f12#2347#14e6#1fde#
(377,317b) (dd,431) #1980#21b4#21b4#6ed#172f#2fc1#1bb8#2b53#
(8153,8fff) (583,84b) #6778#5785#8bcf#1980#1080#8bcf#5b7f#7c08#11e3#
(63b,7a5) (583,84b) #3e9#3cb#298#566#771#298#374#5d9#f#
(57d,7a9) (583,84b) #28#35#38#33#2c#38#34#62#29#
(5ed,bd5) (583,84b) #de#187#5fb#6a6#b17#5fb#d0#b1d#21b#
(1cd,231d) (4ff,2aa9) #2010#1ebd#1f2c#1f2c#483#13c1#1ddb#1ddb#ae0#1c2c#
(7409,81c5) (dd,431) #1adf#2710#2710#790#571f#11c3#2dc2#3e7e#
(211,9cd) (865,1001) #39c#691#815#153#7e4#31#30#30#31#4ae#
(1ae1,3f13) (4ff,2aa9) #24df#28ff#ca3#ca3#302f#337a#34c1#34c1#2d69#202b#
(59,1a0b) (865,1001) #49#17c8#1501#3c1#163e#15b1#4ab#4ab#15b1#e7b#
(4a3,81d) (4ff,2aa9) #4f4#7d1#5a#5a#493#3e9#800#800#5d6#65a#
(40fd,6a61) (4ff,2aa9) #4cab#577f#433c#433c#4fb9#104c#3154#3154#5e13#3c8f#
(4a3,1235) (4a3,1235) #be7#480#17a#292#28b#472#f98#292#306#197#
(326d,34f9) (dd,431) #1da0#1b32#1b32#273c#3071#415#1689#499#
(390b,5603) (865,1001) #354#267f#1c62#1323#1d5d#69d#37e8#37e8#69d#1c31#
(ca7,1cd3) (dd,431) #1a3b#6b5#6b5#69a#693#1333#168a#1ba0#
(12eb,5c23) (865,1001) #817#3622#3aea#5241#2552#2004#1676#1676#2004#5521#
(538f,721d) (4ff,2aa9) #6fa8#1b0#2ff5#2ff5#158d#5e97#4222#4222#5572#26ff#
(b9f,203b) (4a3,1235) #19fb#13e0#498#138b#103c#1f7e#1529#138b#7f0#bca#
(30db,a2eb) (4a3,1235) #9012#20d6#9f53#a0b#2e48#8a38#761b#a0b#9cbc#43b4#
(865d,940d) (4a3,1235) #5cca#48e6#3e63#855c#4c5f#1ab3#1d92#855c#14c1#4f4#
(1c9,487) (865,1001) #159#460#35c#186#10e#20c#3c3#3c3#20c#34#
(5,c23) (865,1001) #52f#37e#bf5#223#6ed#983#488#488#983#276#
(4211,4c5d) (4a3,1235) #481b#270c#296#42da#23ed#4742#3dfe#42da#344b#cf6#
(b9,d49) (583,84b) #98f#3b9#6c0#6fc#b59#6c0#40f#646#3f9#
(2a1,bab) (583,84b) #3e5#344#38#2b1#8c8#38#961#167#4b1#
(e7b,9217) (4a3,1235) #3e81#2c84#49a3#60df#651a#19a1#7859#60df#7e26#7191#
(10d3,14ef) (dd,431) #346#86d#86d#144a#14ce#1f8#1104#5d9#
(f4d,168d) (583,84b) #bbf#218#153e#d3a#e19#153e#14c7#d80#770#
(728b,826d) (4ff,2aa9) #3d20#5b13#308d#308d#5c2e#3486#66f6#66f6#5517#799a#
(f4f,1249) (583,84b) #104e#695#2e2#1f9#fd3#2e2#6a#958#cc#
(2633,33e9) (4a3,1235) #2ee5#30ae#369#30f5#c51#522#1578#30f5#1507#2026#
(865,1001) (865,1001) #69d#47#14f#33f#13d#40f#a0c#a0c#40f#7d#
(3bd7,5831) (4ff,2aa9) #38eb#4e53#5496#5496#1e#1662#4be6#4be6#1ff4#523f#
(63bb,68ad) (583,84b) #30e0#a09#101#33f1#1f0a#101#bcc#3f92#6245#
(963,14bf) (4ff,2aa9) #12d1#b71#a3d#a3d#e0e#c04#10ca#10ca#14b7#7a5#
(3f85,42d9) (865,1001) #352b#3772#3184#725#19b1#9d4#88b#88b#9d4#5b2#
(1571,1c0d) (4a3,1235) #1f2#bae#1637#945#10f8#1b2f#1b86#945#317#70c#
(5be1,9485) (4a3,1235) #8549#80b7#61#36d6#83c3#31#32#36d6#3613#3aa5#
(569,242b) (865,1001) #9f7#a7f#12ad#96d#13f5#c3a#fcb#fcb#c3a#1d7f#
(e27,21cb) (865,1001) #1b8b#1970#1f2c#10be#29e#1764#11#11#1764#1b3a#
(b3,73d) (dd,431) #467#d5#d5#630#ab#20f#647#591#
(1643,31fd) (583,84b) #564#9a1#175b#2859#2a7a#175b#283f#1f1#255c#
(465,a27) (4ff,2aa9) #48d#8ed#1e8#1e8#3cd#778#4bf#4bf#f0#40f#
(3b45,3d5b) (dd,431) #2b65#1628#1628#1029#29fc#3867#16f#1ce4#
(4ff,2aa9) (4a3,1235) #afb#838#1164#63e#26ce#145d#23b4#63e#27af#2549#
(17b,2039) (dd,431) #6c9#997#997#1b4c#1cbc#19b4#140e#b48#
(155b,267d) (865,1001) #6f#fa3#7bd#f95#10a3#1299#49f#49f#1299#1eff#
(3277,982d) (4ff,2aa9) #86d#3cc6#bd9#bd9#452e#751#7c0c#7c0c#822e#2b5c#
(67f,9cb) (4a3,1235) #8d9#1c1#34b#390#7ed#83#99f#390#954#486#
(54b3,9217) (865,1001) #4cac#5a94#84ea#3b93#6d0#3e78#85ae#85ae#3e78#1fda#
(2699,382d) (583,84b) #425#1da3#a4b#6c2#22d5#a4b#377d#545#22ba#
(3629,5317) (583,84b) #36a6#32b#3d8f#4fc0#4b14#3d8f#15c2#46fe#1577#
(2a0b,57fb) (4ff,2aa9) #3e91#4ba9#36d8#36d8#156e#7b4#13f#13f#4c6a#3e1d#
(c07,52d9) (865,1001) #3029#2641#2f7a#41a9#1e4e#44d8#4482#4482#44d8#146c#
(1ab9,3739) (583,84b) #10bb#baf#19bb#366a#1aeb#19bb#15b0#1a7b#1d09#
(3819,4b8b) (4ff,2aa9) #36a1#188a#2db0#2db0#2f5f#167f#23e0#23e0#1671#247c#
(455,2081) (4ff,2aa9) #155e#d74#12ba#12ba#1bba#1a49#770#770#1467#981#
(21d1,cee1) (4ff,2aa9) #36a9#703c#7c4#7c4#5d5b#9ba5#4744#4744#3962#b9c8#
(2b3f,30f5) (4a3,1235) #2ce6#1a24#24b1#1599#29ac#65a#2674#1599#24d8#1c8#
(249,31f) (dd,431) #22b#1da#1da#18e#210#165#1c9#e7#
(2fb,3d3) (4a3,1235) #2d1#ff#14e#34a#b#50#2f4#34a#9e#23#
(547,10ff) (583,84b) #a53#5c6#3db#b8#ef1#3db#3ea#4c3#75#
(18d9,2b8b) (4a3,1235) #2574#18ad#a23#2779#1815#577#a02#2779#14e9#2209#
(583,84b) (dd,431) #201#484#484#436#399#6dc#698#7c4#
