(4a03,5881) 3 17290bfa265887c4d06513d2f3455d6bcafe81b21c0b7eab5b160d8934b86e78 2eca6e77d81201c71966f38fec485684fac261ca7820f64eb728875c745291e4
(96d,3709) (2507,4441) #f87#909#1378#1f8e#510#26e5#2005#2005#2005#31#233c#
(318b,61bb) (d0f,27f5) #4629#422a#2d99#521d#9de#a4a#5d06#521d#5e28#4448#
(991,1ba9) (d0f,27f5) #138c#64#30#10a7#2c#32#d0c#10a7#35#1145#
(e23,8549) (aa5,125b) #fa5#a3e#a3e#2d90#7fe0#bc2#8045#2d90#1f37#7682#
(b17,21cb) (d3,fd) #1b8b#c13#159b#1183#13da#c13#a69#
(943,1a6f) (40d,47e7) #35f#11f7#15a8#154d#9b1#11f7#496#5eb#496#f9f#
(1ff3,4085) (d3,fd) #e32#c1#3297#2e85#28ee#c1#2f07#
(8f9,216d) (d0f,27f5) #1670#be1#ebb#9a3#1658#1b05#1399#9a3#877#1f11#
(9b,263) (625,d5b3) #257#3b#fd#1ae#251#121#1ae#c5#67#e4#
(2a9f,3ac9) (d3,fd) #1e46#d04#2582#3a9d#71b#d04#3c9#
(539,a0d) (40d,47e7) #3b#8d#2c#428#2a3#8d#92a#754#92a#4a8#
(f2b,1dad) (1a3,5b55) #13fc#1a63#141f#1149#ebe#1484#be2#1484#1484#11f3#
(a09,3691) (625,d5b3) #2b86#dd0#2783#222a#205e#b23#222a#cfa#17c3#c67#
(384b,896f) (2507,4441) #4dc#6e18#4b63#76f7#55cc#62b3#335d#335d#335d#1cf2#5de1#
(989,cf5) (207,7ff) #b13#ad1#988#bca#b08#bca#80c#80c#168#
(1683,1abf) (3ea7,97ff) #cc#48e#18b5#364#119b#17a6#1342#119b#14b1#14b1#a40#
(30ef,495b) (40d,47e7) #3864#296b#b3a#ecc#186f#296b#3f0f#2e71#3f0f#440a#
(cb3,8659) (1a3,5b55) #2f07#13ec#5839#3f2c#3851#169e#7e75#169e#169e#6d71#
(64d,13cd) (40d,47e7) #ca8#d89#d42#dc5#d7a#d89#8bb#10f4#8bb#106e#
(1533,6f2b) (1a3,5b55) #11c5#ee5#a15#55b8#206c#5927#451a#5927#5927#1134#
(b45,2257) (625,d5b3) #927#14a4#fb4#a12#b3b#45f#a12#4ce#1eb3#1a09#
(193,6cb) (1745,5b99) #34c#2f4#3ec#364#53#374#53#cc#57c#57c#29d#
(aa5,125b) (d0f,27f5) #3bb#245#5ae#b84#bb1#444#6a#b84#415#8f9#
(4f9,216d) (1a3,5b55) #1f07#7c0#9ed#983#48a#505#bc5#505#505#18c6#
(10b1,27f5) (1a3,5b55) #6f2#221e#2551#b01#1f50#10c5#224c#10c5#10c5#270c#
(2b3,2ff) (aa5,125b) #1c8#118#118#257#22#190#9e#257#61#2bc#
(503,589) (d3,fd) #327#384#a8#2ed#47e#384#229#
(1709,2d8f) (aa5,125b) #631#f#f#437#8e4#18b7#2465#437#15ea#65#
(10ff,1e31) (207,7ff) #dc1#13c9#d53#20f#83d#20f#750#750#d4c#
(42e3,778f) (1a3,5b55) #d8#6f5e#37de#5c5#28fd#4ba0#fdd#4ba0#4ba0#456d#
(637,93b) (625,d5b3) #619#59f#1db#6e0#29c#2e3#6e0#60f#4a6#925#
(20c5,5a8f) (625,d5b3) #408f#2d2#1629#36b#2a0d#4453#36b#4312#34d#46d6#
(2ef,37d) (1887,97ff) #20f#1ad#11c#11c#194#113#4c#194#d8#d8#11f#
