(5dd,6029) 3 1501c1fcedb8e1438b7d1653d65e138877d12b332774dd9315b8c6b04e0ccacd c0cd43a7e5ae3e366cf653904155ea12a011c93c135c6eb3459a179e45edebc3
(659,2621) (1df,2015) #169b#24c2#fe9#186b#f1f#25f0#19fc#24c2#1a70#251d#
(1e1f,7433) (1df,2015) #2ad7#2b69#5c31#45d7#506a#1d49#3192#2b69#10fe#39e6#
(3af9,418d) (1df,2015) #2e41#113d#3c3c#39ec#88b#2739#2189#113d#1626#157c#
(3e07,459d) (6d9f,7a0b) #a#aea#3f89#2cac#2758#1482#323a#dae#359b#1327#faa#
(be7,286d) (af9f,b3cf) #265d#a23#83d#26b4#83d#19a2#bed#2261#98a#83d#1182#
(55d3,64cf) (df1,27a3) #14a0#5c80#25c1#1ee5#62ef#23e#1220#914#6067#61e6#
(b6b,347f) (923,2b01) #26bb#376#27db#183e#23bf#27db#2a25#1e03#f81#15ca#
(4697,669d) (923,2b01) #1df8#3e3c#4bbc#4c78#5da6#4bbc#abd#4b13#157a#a40#
(1d17,1f57) (923,2b01) #1aac#3fb#16b7#1582#a39#16b7#e2f#25d#13fb#e86#
(6d9f,7a0b) (df1,27a3) #1a33#756a#4fe5#6258#1d5d#1ddb#5a99#348#4914#29b2#
(1d3f,2fa1) (137b,4567) #1c1f#27ac#19bd#2077#f6#2f99#2c8c#1c01#15d9#2077#133a#
(5a65,8cb3) (923,2b01) #422f#74a7#7bd2#383a#2fb6#7bd2#8032#6cb1#56c7#73a0#
(141,f79) (139,12d3) #369#7e5#9a1#3cf#5f#7e5#ad2#5e7#9a1#546#
(59f,17dd) (139,12d3) #1337#1429#12e2#1373#a4e#1429#116c#4de#12e2#334#
(4b95,68e9) (131,f01) #1648#3660#391e#3660#1d17#10cb#1822#3660#242f#
(1eeb,61bb) (df1,1589) #2cc7#4d0b#1509#37a5#5107#37a5#4f3c#3fdc#27b6#16db#
(12f,385) (af9f,b3cf) #2bc#16f#121#f1#121#1a4#279#187#2d5#121#5#
(14b3,1b77) (df1,1589) #7ca#162#1af0#7db#68b#7db#1547#1b11#1105#c67#
(c65,6bf9) (923,2b01) #35d2#3a75#a8#3a06#34f5#a8#4b09#2bb6#3bb7#67ab#
(923,2b01) (131,f01) #1f3a#13e7#24f9#13e7#15f1#20c0#1f46#13e7#28e8#
(2f43,317b) (af9f,b3cf) #1c45#226b#1b49#1031#1b49#5a4#574#2b08#1c4#1b49#2e40#
(b83,f71) (af9f,b3cf) #89e#72f#b70#49f#b70#681#eb4#ab5#db0#b70#85c#
