(243b,3a0f) 3 07d64a6fadafc6098f8942ea20121c370ac9a9eead178a39139fb69097e75c5b 3fa131a2682e568bfada1f53f840c9c6036649e1014b8eccfe04bb0a4d2ea82c
(bd17,de91) (3ac1,44b9) #b71a#5bf8#b223#3db#2219#3623#b0f2#b0f2#625a#c692#7c03#
(15b9,3817) (3ac1,44b9) #1ee2#8bc#29c8#3359#370a#2547#2a6d#2a6d#1641#2b27#17c6#
(2db,9e5) (1ab,4c3) #23d#24b#1b4#29b#63b#672#d3#6b5#784#
(1fed,2381) (39f5,49a9) #1c83#ee0#594#1513#8b5#280#210b#594#1c12#594#2177#
(b0b,1399) (108d,21ad) #351#d51#42e#bd6#8df#a17#e58#d51#4ff#8df#af1#
(5b3,231d) (bd17,de91) #1d2a#178f#f62#11c5#1609#3cb#f62#15b3#f25#11c5#203a#
(1ab,4c3) (1ab,4c3) #71#ae#1b2#39a#38f#172#c9#44d#4af#
(17,d1) (1ab,4c3) #48#66#f#a#37#d#bb#74#c8#
(7b1,2009) (39f5,49a9) #e34#1d62#1b9a#1db4#154d#7f5#e03#1b9a#1e3e#1b9a#1f38#
(487,941) (108d,21ad) #921#88d#7ab#8ab#1a4#4d2#6e#88d#ab#1a4#640#
(2377,2b0d) (9b3,e2d) #1beb#12bb#161c#293d#13e3#107d#18bd#403#1b85#
(78d,51fd) (1ab,4c3) #2856#2f6e#291a#4557#5113#1109#418b#1e9b#c1b#
(4f,419f) (3ac1,44b9) #1813#20a#2b0#1bfc#39d7#16dd#1d07#1d07#23cd#2468#1b70#
(2ff5,409f) (2ff5,409f) #1758#147f#345f#345f#1430#1a4f#337#31ca#3130#345f#2ba5#
(85d,1721) (2ff5,409f) #15f9#900#f8e#f8e#6e#45f#1445#f96#5d6#f8e#bd2#
(aeb,33e9) (108d,21ad) #17ca#1cf8#2619#2cf0#71a#2a3f#22bb#1cf8#2cb6#71a#452#
(c7,17e7) (1ab,4c3) #358#1255#35e#c11#13e6#4f8#16d#88c#c30#
(61f,104b) (39f5,49a9) #b0a#479#8aa#9e1#d40#d46#cfe#8aa#610#8aa#64c#
(20f,a27) (3c37,3f71) #41#5fc#49f#5fc#3d8#6b1#5fc#8be#3d8#1bd#528#
(2169,231d) (9b3,e2d) #1cc6#85#427#1789#1335#65#1ee9#1f2a#125f#
(70d3,9d75) (39f5,49a9) #14c#898f#7799#18a3#104c#7df4#c4e#7799#4f3b#7799#11c8#
(39f5,49a9) (3ac1,44b9) #136a#1e6#40db#24ed#471e#9d9#4024#4024#3fb6#2b28#2429#
(9ad,c3b) (3c37,3f71) #aa5#67e#96d#67e#10d#493#67e#5ec#10d#aed#a1b#
(11bf,40bb) (2ff5,409f) #3ec7#31aa#439#439#184a#89c#12e3#2548#1a05#439#2be6#
(7877,96b3) (9b3,e2d) #1f35#625c#9032#87af#44dd#6467#4974#90ac#7ba5#
(9e5,ba7) (2ff5,409f) #6d#32#3bd#3bd#377#574#a54#57a#a3e#3bd#b37#
(6b,2c9) (3c37,3f71) #2c6#222#d4#222#243#94#222#98#243#ff#2b8#
(2e9d,4c25) (3c37,3f71) #1ec3#135d#1136#135d#1bf1#4b3b#135d#1b3a#1bf1#28f5#b45#
(ac45,bd3b) (9b3,e2d) #1b9c#83ea#9526#5b62#5df0#957e#6b11#23b0#aadd#
(1505,4aa5) (9b3,e2d) #444e#95f#45b9#1152#397f#3117#3f15#48f0#24b3#
(1381,7b53) (bd17,de91) #2f2b#23a2#d46#1868#41ae#16c4#d46#41d1#23f1#1868#11b3#
(8a5,9c1) (bd17,de91) #830#7f2#815#45#2ec#5b7#815#356#54#45#745#
(e5d,f77) (2ff5,409f) #e90#dd1#121#121#125#31#ae9#f23#3bd#121#21b#
(3ab7,5153) (9b3,e2d) #4eb8#37cd#467c#997#11d0#6d8#1350#f73#4243#
(137,114d) (91d,ddf) #69c#ddd#42c#929#25b#929#929#7a4#79a#
(211f,42d9) (9b3,e2d) #1f5a#4233#2a9f#3131#55d#4b7#42a7#3a4c#32ef#
(515,2ed9) (39f5,49a9) #1d4d#40d#2553#f82#1cb1#1a6b#2826#2553#cf9#2553#122b#
(29f5,3dc3) (1ab,4c3) #2989#3198#246#c21#3bdc#1a2#334#a57#3511#
(5465,5def) (bd17,de91) #2cc3#2beb#5677#2316#12f9#25eb#5677#20f#22ed#2316#4fe1#
(679,10f7) (3ac1,44b9) #66c#735#3db#bb#ef9#7bb#dd4#dd4#d1f#8e#9b6#
(ae5,ca1) (3ac1,44b9) #208#6e3#ae0#5fd#1ed#9d7#596#596#b8c#3df#897#
(e77,6637) (39f5,49a9) #5904#32a#725#6355#543b#2068#3860#725#4bd0#725#155e#
(3901,404b) (b0b,1399) #13cf#14fb#37aa#14fb#1590#122b#2935#3ab4#3ab4#2380#
(d73,1001) (b0b,1399) #951#1be#1b3#1be#355#c85#110#c92#c92#74b#
(169,289) (b0b,1399) #6a#225#1d2#225#18c#1b#222#ff#ff#13c#
(9b3,e2d) (108d,21ad) #cbb#961#de3#aaf#29d#dcb#d51#961#575#29d#39d#
(115,180d) (b0b,1399) #142b#ad9#4c7#ad9#12b7#95f#16c8#619#619#171c#
(91d,ddf) (bd17,de91) #cfb#128#337#21c#67e#a49#337#d89#d36#21c#b30#
(108d,21ad) (3ac1,44b9) #6e9#ea7#12bc#ffb#975#12c6#ccc#ccc#1b3e#889#6ce#
(1861,2621) (3ac1,44b9) #271#1b21#a0c#19#25a6#147f#ed5#ed5#1da3#217c#d1e#
(827f,daa5) (bd17,de91) #bc01#3a27#8dad#2314#3be2#be6c#8dad#c2ae#957#2314#160b#
(35f9,ab9b) (2ff5,409f) #7c6a#a77f#68e0#68e0#2974#5cb6#545e#38a4#89e5#68e0#6890#
(4639,b975) (91d,ddf) #28e5#6f92#646e#773e#22a9#773e#773e#63f5#7ec8#
(7efd,a99f) (108d,21ad) #5347#a261#30d8#2202#76a7#55ff#492e#a261#6920#76a7#9fa5#
(d9f,5a59) (91d,ddf) #4dad#2f94#25f6#f62#3a8d#f62#f62#33b0#2b8d#
(30f,391) (bd17,de91) #103#1c2#c7#255#1ce#339#c7#cd#26f#255#115#
(2515,56f5) (108d,21ad) #18db#5562#1ac3#55da#d4b#33ea#1d61#5562#4cbe#d4b#3704#
(19bb,4fd5) (2ff5,409f) #3686#115#900#900#153c#485d#4346#2551#d21#900#1289#
(14d5,3617) (3c37,3f71) #c47#1ad#7c5#1ad#20c3#1fb8#1ad#3000#20c3#101e#33d0#
(183b,1ae7) (3c37,3f71) #92d#cae#543#cae#1098#8e7#cae#84c#1098#c4c#527#
(95,b17) (39f5,49a9) #4e#8c4#a77#264#96c#54a#386#a77#580#a77#479#
(ff7,1bb9) (91d,ddf) #1a57#f92#1674#15fb#a82#15fb#15fb#123f#17eb#
(dff,1415) (2ff5,409f) #cef#4ad#e6d#e6d#d40#2aa#5cb#7dc#c13#e6d#2e3#
(1f3,473) (108d,21ad) #2ad#3c1#d6#429#35b#212#20e#3c1#1f3#35b#63#
(1d9,3d5b) (1ab,4c3) #2328#e3c#189a#1ed7#12b6#2b35#3101#412#58a#
(8e7,c23) (1ab,4c3) #28#7f0#845#20a#1f6#34#8f5#33#19a#
(1b59,36d7) (3c37,3f71) #2474#554#12ee#554#81b#746#554#dd0#81b#8df#1641#
(df,a01) (1ab,4c3) #28b#4ea#2df#17f#21d#93e#7bd#8c8#5a1#
(7f9,34f9) (1ab,4c3) #2e4a#1752#22#1edb#2b32#1417#2bfc#b79#26eb#
(9611,af81) (1ab,4c3) #7c80#4e2a#a6d3#899#47f2#43d7#7c42#1de5#93a5#
(4e17,6ecb) (b0b,1399) #6627#3ebd#41ed#3ebd#6920#b98#4a7a#3882#3882#104a#
(52bd,553f) (108d,21ad) #4f28#4368#bb1#1ab1#349d#474e#1f79#4368#3029#349d#536#
(1703,1a5f) (91d,ddf) #1864#d88#1727#156d#11a4#156d#156d#80e#ff9#
(24b,545) (2ff5,409f) #435#469#c9#c9#229#466#40c#fa#17c#c9#1c4#
(41c7,9be9) (2ff5,409f) #90d#6cba#87de#87de#74ee#13b3#2d74#3d48#5f9b#87de#2194#
(1063,2a7d) (39f5,49a9) #1355#291a#1951#536#ddc#47c#1278#1951#1e7#1951#54b#
(2935,50ab) (3c37,3f71) #2e78#2408#2c0#2408#409f#3ed0#2408#3aac#409f#37fb#1322#
(3c37,3f71) (20dd,409f) #265c#2174#da5#23e8#23e8#35f5#2e24#da5#1bf2#2595#210d#
