(19d9,4ba7) 1 2d0f62ed76f0b65130b536c9ecf8aad2c8997ac9196595b5db04e82c9033bae2 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(1db9,4567) (ad,ab7) #2c15#1b70#4032#3f36#1b70#2081#1975#1e64#
(266f,41b1) (ad,ab7) #274#1b5e#3833#18bc#1b5e#9a5#877#2c2b#
(14f,673) (4229,e0ff) #4ad#c3#652#652#355#4e8#66a#1f1#3bb#3bb#1ce#
(829,13c7) (ad,ab7) #74e#10fe#3fd#fed#10fe#705#106#abc#
(949,267d) (4417,8ee5) #b6a#1e20#1e20#21db#1f49#199#206b#1269#1269#198b#1b56#
(4417,8ee5) (4417,8ee5) #1ca3#8cf5#8cf5#7179#44bf#3b6c#be7#76ba#76ba#31e4#496b#
(eef,1cd3) (4417,8ee5) #821#1bcd#1bcd#1334#1406#8c2#1b34#153f#153f#b72#1103#
(95,37d) (ad,ab7) #307#249#9e#368#249#ee#16d#7c#
(c8f,1823) (949,267d) #602#82#1752#82#821#13cf#7e0#89d#13b2#1430#
(2c8f,6959) (949,267d) #5ac4#7d9#5f94#7d9#1e18#2ae7#cb0#640f#5ec2#688c#
(713,5849) (4229,e0ff) #fd3#caf#958#958#3cb7#b8f#2d90#1edd#3c59#3c59#3bcf#
(287,661) (4229,e0ff) #37f#1e5#24b#24b#3b4#c6#5b1#1be#20d#20d#567#
(1f7b,5c9f) (949,267d) #40d9#18a7#6e6#18a7#3953#52af#117#4048#48d0#38dd#
(5ed,c65) (ad,ab7) #97c#249#b74#a88#249#529#c1d#3e6#
(b3f,21b9) (ad,ab7) #160b#ec7#9ba#14cc#ec7#15fb#112b#6b8#
(4fab,5edf) (4417,8ee5) #1714#5c44#5c44#5b8#4883#2dcf#575c#943#943#33c8#155e#
(2bd1,317b) (ad,ab7) #1101#42e#2eda#a#42e#1f98#1759#262c#
(b01,15f1) (ad,ab7) #130e#d97#97d#174#d97#1bf#a4e#29#
(587,1cc3) (949,267d) #dab#3fa#128d#3fa#ae0#9d6#15c0#10da#17e3#54d#
(d3f,107f) (ad,ab7) #b35#92d#c90#104#92d#2f2#3b2#cf9#
(b11,228b) (4417,8ee5) #cfb#851#851#126b#1868#1310#ce2#114e#114e#16df#1d5a#
(489,d987) (4417,8ee5) #8338#7fa0#7fa0#6194#a239#9da1#697#4cd9#4cd9#9834#73c0#
(36bb,4f9d) (4417,8ee5) #144e#31ab#31ab#11f0#1236#314e#2bc1#41da#41da#3c90#2837#
(623d,64b1) (4417,8ee5) #21c#575c#575c#2b36#2de4#1237#44c3#5538#5538#5ae0#5870#
(2a59,47f3) (4229,e0ff) #1c89#2102#320#320#3b34#ddb#19b7#276#2796#2796#1bb9#
(2bdf,4427) (4229,e0ff) #360f#11a7#2cd8#2cd8#3c9d#10d8#33d9#1d39#765#765#4417#
(afd,1e65) (4229,e0ff) #104d#1a40#1792#1792#11b4#16d5#974#16ba#c4e#c4e#691#
(4229,e0ff) (4229,e0ff) #ca7#6ed2#cde0#cde0#771a#1fd6#32b5#5c19#db84#db84#4288#
(afd,3ac9) (4229,e0ff) #2eb8#11aa#c6b#c6b#60b#3523#65#e28#66#66#13f3#
(2ed,2569) (4229,e0ff) #a9c#222e#9ba#9ba#4c#12e5#ee6#1ecb#188e#188e#1dcc#
(14b,afd) (4229,e0ff) #8e0#462#102#102#15b#abb#9e3#56e#fd#fd#68#
(16a5,28f1) (ad,ab7) #28#1bbc#1233#2ed#1bbc#251a#2114#1ccd#
(2959,414d) (ad,ab7) #1b3f#1855#1858#30ef#1855#3647#3789#27cc#
(3823,a883) (4229,e0ff) #d06#8f8a#16db#16db#610e#644c#6704#6c80#4743#4743#5899#
(5db,105b) (4229,e0ff) #4ce#cd5#87f#87f#727#e45#f60#994#2fe#2fe#45e#
(3ec3,4e83) (949,267d) #2752#2ad8#2918#2ad8#2931#2c0a#4c2a#215#c3a#3af0#
(47db,4999) (ad,ab7) #2fb5#1a75#2f70#32f7#1a75#242#25d4#47f2#
(149,1015) (4417,8ee5) #ee6#c3c#c3c#56c#811#6df#5de#b7b#b7b#b45#836#
(20b,114d) (4417,8ee5) #718#23d#23d#a70#b46#8bd#d7f#3f6#3f6#110e#de9#
(2917,4f9d) (4417,8ee5) #4b9b#37ac#37ac#3828#144c#af9#5ae#407#407#120f#3eba#
(231,391) (4417,8ee5) #15c#11b#11b#349#42#bb#324#1e6#1e6#29d#110#
(2d3,15f1) (ad,ab7) #11c6#dcd#25#7f4#dcd#1438#107c#5ed#
(9a9,1bb5) (ad,ab7) #1575#e2e#b5b#642#e2e#1839#d30#1524#
(125,10ab) (ad,ab7) #4e3#7f5#fae#7f2#7f5#dcc#8a6#314#
(136f,1d5f) (ad,ab7) #9bd#951#eb9#92e#951#77d#890#3b1#
(331,f61) (ad,ab7) #d07#556#222#122#556#d76#dbb#4a3#
(2631,317b) (ad,ab7) #1260#b25#2b0a#2c45#b25#fe9#1378#270#
(6eb,e53) (4417,8ee5) #477#56d#56d#90#cc1#452#628#aed#aed#b9e#812#
(22d,81cb) (949,267d) #50dc#5954#1baf#5954#97c#da5#2aa#427c#6423#c54#
(335,913) (949,267d) #877#168#7b5#168#225#653#53a#418#848#41b#
(141,87d) (4417,8ee5) #3d7#34#34#fe#76c#14b#4dd#13#13#35#267#
(691,911) (949,267d) #28#39#34#39#2c#32#36#37#64#29#
(263,661) (4417,8ee5) #204#dc#dc#5b2#7f#86#3d#3bb#3bb#339#497#
(4c7,5e3) (4417,8ee5) #1b3#577#577#e#55f#53e#4bb#125#125#3a0#4c7#
(dc9,2699) (4229,e0ff) #1880#17c0#fe4#fe4#17ef#66b#12c3#504#a94#a94#e93#
(1df3,21cb) (4229,e0ff) #2b8#1a05#1b08#1b08#deb#8ea#860#1a01#481#481#f6#
(70e1,7291) (949,267d) #543a#3994#95f#3994#4d51#26ef#327d#6353#2334#1af1#
(14f,69b) (949,267d) #4cd#214#491#214#2c4#385#3cd#3f5#33a#282#
(ad3,168b) (949,267d) #1058#195#6f#195#ccf#891#cf1#5bd#f8e#1458#
(c5b,1cdb) (949,267d) #1d2#a9a#168d#a9a#a2b#267#817#128f#d6f#14fb#
(198d,301d) (949,267d) #2644#c91#187a#c91#2cda#295f#c0c#203c#1314#324#
(410b,59b9) (949,267d) #1273#39#47a2#39#25a1#31d9#4b20#8ed#2bf2#53c9#
(29,13cd) (949,267d) #66#34e#c5b#34e#1a3#e65#a6d#ead#dc5#bef#
(11f,3451) (4229,e0ff) #785#8b6#564#564#164d#1f7#24a0#19a6#293a#293a#18c4#
(5d1,10e1) (4229,e0ff) #247#a5f#549#549#e62#4d4#c2a#422#a44#a44#939#
(823,50ab) (949,267d) #4c67#631#4acf#631#2f0e#4ea8#13ac#21dd#2bb8#24b7#
(85f,175f) (949,267d) #6b3#110e#14df#110e#2df#1440#139c#557#41b#142e#
(71b,bc5) (ad,ab7) #2ee#aa4#ae5#939#aa4#414#363#3a5#
(d3,155) (4229,e0ff) #28#34#32#32#39#2c#65#30#66#66#29#
(15cd,188b) (949,267d) #16cb#39#1845#39#120b#11d4#1847#1122#cc8#5a4#
(b89,168d) (4229,e0ff) #d6a#10f4#4a2#4a2#1267#86c#9fb#e94#d49#d49#7f4#
(1013,11bd) (4229,e0ff) #117#98a#10bb#10bb#947#eca#b99#840#8a7#8a7#1b1#
(6733,a3bd) (4417,8ee5) #34bf#8d13#8d13#73fb#4ef9#2335#26f6#53#53#7953#93d6#
(19a9,2ef1) (ad,ab7) #1d6f#1781#1835#1a0b#1781#204#270a#2c92#
(1e3b,1f2b) (ad,ab7) #1a19#8e2#77e#68e#8e2#15a7#692#aa#
(2e9f,324d) (4229,e0ff) #28#2ecd#1267#1267#13f9#183e#2c37#30#66#66#203#
(1a59,5101) (4229,e0ff) #15ec#4779#10c6#10c6#915#356a#6a7#206d#4012#4012#f3#
(ab05,b075) (4229,e0ff) #e60#a0f1#9601#9601#432a#79e8#3f96#5275#1aff#1aff#4397#
(2d75,3ac9) (ad,ab7) #f6f#d18#13b9#13f6#d18#1b67#2cfc#2ecc#
(71,367) (ad,ab7) #83#23e#155#2dd#23e#2e3#22b#a2#
(39b,439) (ad,ab7) #224#1c3#76#2d4#1c3#1b9#2f2#1be#
(49fd,6af7) (5639,e0ff) #4a1c#1d35#938#3b92#3087#57ec#f89#67f0#4369#4369#5295#
